training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.46299967,1.5574118,0.0,-77.533966,-95.58302,6.418644,-4.3933506,66.67303,1.8813775,-77.37314,-95.54137,0.06900164,0.0017708995342254638,845.6962535381317,350000
0.39353573,1.3804016,0.0,-78.968185,-95.66031,19.111452,-19.16702,136.96632,0.2597716,-78.7603,-95.54867,0.104591995,0.0017579710483551026,854.4861118793488,355000
0.4125141,1.6209667,0.0,-77.8756,-95.59975,15.597402,-12.765069,129.31195,-0.3943504,-77.65398,-95.564476,0.07690126,0.001756399631500244,863.2681131362915,360000
0.46682146,0.9521661,-7.036742,-80.4458,-95.42602,5.6633244,-4.6473155,62.687485,-7.509615,-80.30901,-95.26414,0.08555451,0.001711732530593872,871.826779127121,365000
0.43130797,0.78607416,-16.851295,-78.059784,-95.96068,7.055553,-6.2338905,79.71815,-13.216027,-77.81453,-95.91737,0.088241994,0.0017160369396209717,880.4069671630859,370000
0.49995416,1.0485015,-9.328996,-80.97339,-95.810005,21.395304,-44.448578,212.89577,-8.635145,-80.788635,-95.74972,0.07805806,0.0016899004459381103,888.8564727306366,375000
0.45329517,0.988781,0.0,-77.119125,-95.80296,3.8091726,-5.1140957,64.38222,0.8986066,-76.898285,-95.76399,0.0732398,0.0016983984947204589,897.3484687805176,380000
0.45533568,0.9748553,-8.271895,-79.58064,-95.89518,10.676803,-16.407482,137.6788,-7.5387163,-79.38109,-95.84481,0.2031731,0.001670709466934204,905.7020194530487,385000
0.44550863,0.8810375,-15.589094,-80.91449,-96.12035,20.10055,-7.4309387,158.26797,-22.234278,-80.737564,-96.08135,0.2530925,0.001647309970855713,913.9385726451874,390000
0.48385578,1.514473,-1.5207791,-78.27759,-96.070915,30.616735,-31.636835,227.66634,-3.4891489,-78.1362,-96.031235,0.1085493,0.0016540563583374024,922.2088580131531,395000
0.4290154,0.9427084,-17.423038,-80.808266,-95.75794,2.4142635,-3.3452969,45.2088,-16.905628,-80.601425,-95.74066,0.08629961,0.0016405761241912841,930.4117422103882,400000
0.4217134,0.9704269,0.0,-78.51259,-96.00242,15.240764,-9.653202,88.826706,0.66938543,-78.31369,-95.958595,0.06343347,0.01142102746963501,987.5168838500977,405000
0.43503872,1.9958992,-7.6938715,-79.895676,-96.087425,17.464981,-29.145908,174.28227,-8.581823,-79.76889,-96.045906,0.0955296,0.0017267776966094972,996.1507759094238,410000
0.388093,1.8285128,-13.46212,-79.82515,-96.19259,9.242888,-6.220245,81.963455,-12.587851,-79.566086,-96.14856,0.13129215,0.0017138134956359863,1004.7198464870453,415000
0.41434598,0.81827295,-18.807295,-80.13841,-96.15724,4.9180593,-3.3386564,65.02089,-19.20163,-80.00656,-96.1152,0.095237106,0.001691591501235962,1013.177806854248,420000
0.43593967,0.5782591,-4.1825533,-81.304306,-96.06734,2.864867,-2.9329557,48.245872,-3.1990068,-81.135895,-96.01847,0.042785477,0.0017109528064727783,1021.732574224472,425000
0.44706076,1.4102442,-4.899135,-78.49117,-96.0777,6.479492,-7.31139,91.75078,-3.013515,-78.31329,-96.03609,0.11010541,0.0016788917064666747,1030.127035856247,430000
